unnamed: 0,id,manufacturer,model,year,battery_type,battery_capacity_kwh,range_km,charging_type,charge_time_hr,price_usd,color,country_of_manufacture,autonomous_level,co2_emissions_g_per_km,safety_rating,units_sold_2024,warranty_years
288,288,XPeng,P5,2024,Lithium-iron phosphate,87.3,477,DC Fast Charging (DCFC),11.1,95951.12,Volcanic Yellow,United Arab Emirates,2.0,0.0,3.0,19869,3
289,289,Changan,Deepal S07,2024,Lithium-ion,53.9,308,CCS,6.9,90380.3,Pink,Canada,2.0,0.0,5.0,8196,5
292,292,Rimac,Nevera,2018,Aluminum-ion,94.6,193,Inductive (Wireless) Charging,6.2,53959.98,Racing Red,Belgium,1.0,0.0,5.0,11666,3
293,293,Opel,Corsa-e,2016,Aluminum-ion,30.2,589,Vehicle-to-Load (V2L),7.6,121709.31,Matte White,Japan,2.0,0.0,5.0,9002,4
294,294,Porsche,Panamera EV,2021,Lithium-iron phosphate,117.5,165,Level 2 Charging,6.5,80781.1,Matte White,Japan,3.0,0.0,4.0,3944,5
295,295,Lotus,Emeya,2020,Lithium-titanate,21.1,445,Inductive (Wireless) Charging,4.9,42089.74,Turquoise,Finland,1.0,0.0,4.0,11242,4
296,296,Porsche,Cayenne Electric (upcoming),2021,Lithium-iron phosphate,74.5,485,Overhead Pantograph Charging,4.7,78071.11,Candy Apple Red,Norway,4.0,0.0,5.0,8845,3
299,299,Lamborghini,Lanzador (upcoming EV),2020,Lithium-ion,73.5,279,Inductive (Wireless) Charging,7.1,107983.86,Matte White,Norway,2.0,0.0,4.0,14645,3
301,301,Mazda,Mazda EV (upcoming models),2024,Flow batteries,71.4,554,Vehicle-to-Home (V2H),9.5,142652.38,Racing Red,Israel,3.0,0.0,3.0,4097,5
304,304,Great Wall Motors,ORA Lightning Cat,2023,Aluminum-ion,55.4,327,CHAdeMO,11.6,113714.75,Midnight Black,Israel,5.0,0.0,4.0,17152,5
305,305,Acura,ZDX (with GM Ultium),2020,Nickel-manganese-cobalt,90.2,512,DC Fast Charging (DCFC),5.6,73894.0,Gold,Sweden,0.0,0.0,3.0,11268,4
306,306,Great Wall Motors,ORA Ballet Cat,2015,Lithium-titanate,139.9,584,Vehicle-to-Load (V2L),3.9,121904.3,Cobalt Blue,Czech Republic,0.0,0.0,5.0,14323,4
307,307,Polestar,Polestar 3,2025,Nickel-cobalt-aluminum,127.7,212,Battery Swapping,1.4,105038.76,Matte Black,Finland,5.0,0.0,5.0,8808,4
309,309,Mazda,Mazda EV (upcoming models),2017,Lithium-titanate,77.0,104,Ultra-Fast Charging (350 kW+),1.5,31766.98,Electric Blue,Mexico,3.0,0.0,3.0,10821,3
310,310,Citroen,ë-C4,2015,Lithium-sulfur,120.8,136,Vehicle-to-Load (V2L),2.6,137483.88,Gold,India,0.0,0.0,4.0,14514,3
314,314,Volkswagen,ID.6,2018,Sodium-ion,147.6,503,Overhead Pantograph Charging,9.8,82646.27,Metallic Silver,Germany,2.0,0.0,3.0,15902,5
315,315,Geely,Emgrand EV,2019,Lead-acid,110.6,197,NACS,6.8,68841.71,Sunset Orange,Portugal,4.0,0.0,3.0,17404,3
318,318,Kia,EV9,2018,Solid-state,24.1,428,Plug-in Hydrogen Refueling,8.1,93098.56,Ice Silver,Israel,2.0,0.0,3.0,6839,5
319,319,Mahindra,XUV400,2022,Magnesium-ion,103.1,284,Vehicle-to-Grid (V2G),10.0,125309.95,Blue,Finland,0.0,0.0,3.0,7074,5
320,320,Kia,Soul EV,2018,Lead-acid,70.1,198,Ultra-Fast Charging (350 kW+),7.1,143700.4,Matte Gray,United Arab Emirates,0.0,0.0,5.0,15031,5
321,321,Mini,Mini Cooper SE,2016,Nickel-metal hydride,123.0,381,Plug-in Hydrogen Refueling,6.3,108903.83,Matte White,Ireland,2.0,0.0,4.0,12180,4
322,322,Citroen,Ami,2021,Calcium-ion,114.4,411,Ultra-Fast Charging (350 kW+),7.0,55671.38,Navy Blue,United Arab Emirates,2.0,0.0,4.0,6,5
325,325,Rimac,Nevera,2017,Nickel-manganese-cobalt,127.3,453,CCS,7.3,66047.19,Volcanic Yellow,Singapore,0.0,0.0,4.0,13648,3
326,326,Opel,Corsa-e,2025,Calcium-ion,98.3,105,Plug-in Hydrogen Refueling,1.1,92926.0,Purple,Saudi Arabia,2.0,0.0,3.0,12873,4
328,328,Zeekr,Zeekr X,2017,Nickel-manganese-cobalt,92.7,349,Plug-in Hydrogen Refueling,8.0,53531.92,Sapphire Blue,South Africa,0.0,0.0,5.0,18874,3
329,329,Jaguar,I-PACE,2021,Sodium-ion,65.3,264,Overhead Pantograph Charging,7.3,32904.82,Magenta,Netherlands,4.0,0.0,5.0,4778,4
331,331,Great Wall Motors,ORA Good Cat,2020,Lithium-iron phosphate,116.2,208,Inductive (Wireless) Charging,6.8,120042.62,Matte Gray,New Zealand,1.0,0.0,4.0,19103,5
332,332,Lotus,Eletre,2019,Nickel-metal hydride,27.8,202,Battery Swapping,1.1,108570.94,White,China,2.0,0.0,4.0,3535,3
335,335,Canoo,Lifestyle Vehicle,2023,Lithium-sulfur,49.3,274,Plug-in Hydrogen Refueling,8.1,40535.4,Beige,South Africa,4.0,0.0,4.0,7876,5
336,336,Ford,Explorer EV (Europe),2019,Aluminum-ion,98.7,329,CHAdeMO,2.9,46629.18,Matte White,Denmark,2.0,0.0,3.0,14092,3
337,337,Genesis,GV70 Electric,2020,Solid-state,92.5,585,CCS,2.6,130742.7,Charcoal,Germany,3.0,0.0,5.0,8971,3
338,338,Opel,Corsa-e,2016,Nickel-metal hydride,44.0,490,Battery Swapping,7.5,103483.44,Gun Metal,Austria,0.0,0.0,4.0,4393,5
339,339,Cadillac,Celestiq,2025,Sodium-ion,43.9,298,Vehicle-to-Load (V2L),5.9,49654.37,Crimson Red,Japan,0.0,0.0,3.0,6646,3
340,340,Audi,e-tron GT,2022,Calcium-ion,100.2,452,Mobile Charging,10.5,136510.43,Brown,Thailand,4.0,0.0,4.0,12915,5
341,341,Peugeot,e-208,2023,Solid-state,78.7,523,Level 2 Charging,10.6,59486.6,Matte White,Thailand,0.0,0.0,5.0,1615,3
342,342,Mazda,Mazda EV (upcoming models),2021,Aluminum-ion,59.6,523,Solar Charging,5.8,80695.46,Sapphire Blue,South Korea,1.0,0.0,3.0,16405,3
344,344,Renault,Megane E-Tech,2016,Solid-state,111.8,424,Overhead Pantograph Charging,1.5,114873.49,Volcanic Yellow,Turkey,1.0,0.0,3.0,10983,5
348,348,Hyundai,Kona Electric,2016,Nickel-cobalt-aluminum,149.2,182,Solar Charging,7.5,112981.63,Gun Metal,Singapore,1.0,0.0,4.0,1174,3
349,349,Opel,Mokka-e,2020,Sodium-ion,136.7,519,DC Fast Charging (DCFC),9.2,131197.16,Red,Czech Republic,0.0,0.0,5.0,13558,5
350,350,Rivian,EDV (Electric Delivery Van),2018,Zinc-air,27.6,392,DC Fast Charging (DCFC),6.1,112638.51,Burgundy,Czech Republic,2.0,0.0,5.0,11595,3
352,352,Li Auto,MEGA,2015,Sodium-ion,65.5,512,Inductive (Wireless) Charging,0.6,54142.46,Copper,Spain,2.0,0.0,3.0,3730,5
353,353,Pininfarina,Battista,2021,Lithium-titanate,94.0,591,Level 1 Charging,10.1,53281.87,Titanium,Mexico,3.0,0.0,5.0,4448,4
354,354,Ford,Explorer EV (Europe),2023,Aluminum-ion,63.6,501,Vehicle-to-Grid (V2G),11.2,36722.67,Matte Black,Poland,5.0,0.0,3.0,18920,5
359,359,Peugeot,e-3008,2015,Zinc-air,118.6,427,Inductive (Wireless) Charging,4.2,53105.48,Bronze,Saudi Arabia,3.0,0.0,3.0,8966,3
361,361,BMW,iX,2015,Nickel-manganese-cobalt,137.4,125,CCS,4.9,40334.35,Cream,Norway,4.0,0.0,4.0,11653,4
364,364,Mazda,Mazda EV (upcoming models),2024,Zinc-air,36.6,152,Plug-in Hydrogen Refueling,9.9,125610.93,Purple,United Arab Emirates,2.0,0.0,4.0,7817,5
366,366,Jaguar,I-PACE,2020,Lead-acid,32.7,327,NACS,4.0,78695.24,Gun Metal,France,4.0,0.0,4.0,2014,3
367,367,Rivian,R1T,2024,Aluminum-ion,118.1,514,Level 1 Charging,9.2,109305.77,Candy Apple Red,Saudi Arabia,4.0,0.0,5.0,10374,4
369,369,Tesla,Roadster (upcoming),2023,Calcium-ion,147.2,156,Solar Charging,10.5,58228.94,Ice Silver,Israel,2.0,0.0,4.0,17862,3
371,371,Zeekr,Zeekr X,2016,Nickel-metal hydride,103.5,312,Vehicle-to-Home (V2H),10.8,113446.86,Brown,Finland,4.0,0.0,4.0,11642,3
372,372,Porsche,Cayenne Electric (upcoming),2024,Lithium-ion,95.1,533,Ultra-Fast Charging (350 kW+),8.7,62310.05,Matte White,Singapore,0.0,0.0,3.0,19014,4
373,373,Seat,Avenger,2017,Lithium-titanate,115.1,539,Battery Swapping,5.8,39388.15,Sapphire Blue,UK,5.0,0.0,3.0,17668,5
376,376,Volkswagen,ID.7,2019,Lithium-sulfur,131.5,107,CCS,7.4,139215.78,Racing Red,Sweden,2.0,0.0,5.0,7739,4
377,377,Porsche,Taycan,2020,Solid-state,145.8,404,CHAdeMO,10.1,120331.36,Tan,India,3.0,0.0,5.0,11307,3
378,378,Genesis,GV80 Electric,2016,Lithium-ion,41.8,304,Vehicle-to-Load (V2L),4.0,119538.07,Stealth Gray,Saudi Arabia,5.0,0.0,3.0,17381,4
379,379,Tesla,Model X,2022,Nickel-cobalt-aluminum,108.2,592,Level 2 Charging,1.6,93755.2,Teal,Vietnam,5.0,0.0,4.0,3220,4
382,382,Jaguar,I-PACE,2016,Calcium-ion,98.6,292,NACS,10.8,113478.44,Gold,Czech Republic,0.0,0.0,4.0,13991,5
387,387,Maserati,GranTurismo Folgore,2016,Calcium-ion,79.8,492,Solar Charging,7.9,51194.2,Silver,India,2.0,0.0,5.0,11772,4
390,390,Genesis,GV60,2022,Aluminum-ion,139.3,123,Ultra-Fast Charging (350 kW+),8.6,45664.53,Midnight Black,South Korea,0.0,0.0,5.0,2095,3
391,391,Jaguar,I-PACE,2024,Magnesium-ion,100.0,132,Inductive (Wireless) Charging,5.4,127382.52,Racing Red,Thailand,5.0,0.0,3.0,1493,5
393,393,Nissan,Ariya,2016,Lithium-ion,20.9,574,DC Fast Charging (DCFC),8.6,101247.66,Copper,Indonesia,3.0,0.0,5.0,8878,5
394,394,Geely,Geometry C,2018,Nickel-metal hydride,99.4,119,NACS,8.7,103445.98,Green,Poland,0.0,0.0,5.0,3135,5
395,395,BYD,Atto 3,2023,Lithium-iron phosphate,80.3,420,Inductive (Wireless) Charging,3.7,53246.28,Burgundy,Sweden,3.0,0.0,3.0,1770,5
396,396,BYD,Seal,2018,Nickel-cobalt-aluminum,52.7,415,Vehicle-to-Home (V2H),1.0,118850.03,Matte White,Norway,0.0,0.0,3.0,14575,5
397,397,Jeep,Wagoneer S,2021,Lithium-iron phosphate,117.1,559,Mobile Charging,3.1,43215.94,Crimson Red,France,3.0,0.0,3.0,2409,4
398,398,Jeep,Recon (upcoming),2015,Aluminum-ion,76.7,210,Vehicle-to-Home (V2H),2.5,74818.21,Sunset Orange,Denmark,2.0,0.0,5.0,18634,3
399,399,Toyota,bZ4X,2016,Calcium-ion,80.5,314,NACS,9.2,56382.43,Copper,Ireland,5.0,0.0,5.0,18112,3
400,400,Hyundai,Ioniq 7 (upcoming),2023,Nickel-manganese-cobalt,132.1,210,Vehicle-to-Load (V2L),10.1,63500.51,Volcanic Yellow,Vietnam,1.0,0.0,3.0,19391,3
402,402,Volkswagen,ID.5,2019,Lithium-iron phosphate,104.2,146,Level 1 Charging,6.0,66580.39,Cosmic Purple,Australia,5.0,0.0,4.0,4542,5
403,403,XPeng,G6,2020,Flow batteries,80.4,424,Level 1 Charging,10.4,38483.83,Ice Silver,Mexico,2.0,0.0,5.0,17774,5
405,405,Genesis,GV60,2023,Lithium-titanate,120.6,170,Mobile Charging,3.2,43626.92,Aurora Blue,Israel,5.0,0.0,3.0,10500,4
406,406,Toyota,Lexus UX 300e,2025,Nickel-cobalt-aluminum,56.0,132,Overhead Pantograph Charging,4.5,88347.23,Matte Black,Canada,4.0,0.0,4.0,14810,5
409,409,Jeep,Wagoneer S,2025,Flow batteries,122.3,348,Vehicle-to-Home (V2H),5.8,98070.2,Burgundy,Poland,2.0,0.0,4.0,1550,3
411,411,BYD,Tang EV,2018,Lead-acid,111.9,440,Mobile Charging,11.7,47753.31,Candy Apple Red,Saudi Arabia,4.0,0.0,4.0,16364,3
412,412,Changan,Deepal S07,2017,Lithium-ion,146.1,379,Mobile Charging,7.9,65466.82,Copper,Singapore,4.0,0.0,4.0,3680,5
414,414,VinFast,VF 8,2018,Lithium-ion,30.9,534,Vehicle-to-Home (V2H),8.3,144914.84,Graphite Gray,Thailand,2.0,0.0,3.0,11831,4
415,415,Ford,Explorer EV (Europe),2020,Nickel-cobalt-aluminum,68.5,245,Overhead Pantograph Charging,4.5,147302.84,Matte Gray,UK,3.0,0.0,4.0,9457,3
417,417,Acura,ZDX (with GM Ultium),2021,Nickel-metal hydride,92.3,463,CHAdeMO,2.8,129874.05,Copper,United Arab Emirates,2.0,0.0,5.0,15186,3
419,419,Audi,A6 e-tron (upcoming),2020,Zinc-air,82.5,323,Battery Swapping,7.7,87124.89,Ice Silver,Canada,5.0,0.0,3.0,19059,3
422,422,Canoo,Lifestyle Vehicle,2015,Nickel-metal hydride,87.4,290,Vehicle-to-Load (V2L),5.2,140508.89,Pearl White,France,4.0,0.0,5.0,17224,5
425,425,Nissan,Ariya,2021,Lithium-ion,45.5,116,Level 2 Charging,5.9,139023.52,Silver,China,0.0,0.0,5.0,6730,5
426,426,Lucid Motors,Lucid Air,2025,Sodium-ion,23.8,174,Battery Swapping,11.4,71740.39,Pearl White,Turkey,4.0,0.0,3.0,18944,3
427,427,Lotus,Eletre,2018,Lithium-sulfur,42.3,486,Level 1 Charging,11.7,41842.29,Electric Blue,Turkey,3.0,0.0,4.0,3516,3
428,428,Fisker,Pear (upcoming),2021,Lithium-iron phosphate,86.9,308,CCS,9.3,67713.63,Sunset Orange,Canada,3.0,0.0,5.0,1330,3
431,431,BYD,Tang EV,2020,Lithium-iron phosphate,97.3,306,CCS,3.2,80964.5,Champagne,Portugal,4.0,0.0,5.0,13114,4
432,432,Great Wall Motors,ORA Ballet Cat,2024,Nickel-cobalt-aluminum,148.4,361,Battery Swapping,2.2,84556.17,Orange,Spain,1.0,0.0,3.0,1731,3
433,433,Mahindra,XUV400,2017,Nickel-cobalt-aluminum,98.6,267,CHAdeMO,4.0,104787.91,Stealth Gray,China,4.0,0.0,3.0,9619,5
434,434,Mahindra,Born Electric (upcoming range),2023,Lithium-sulfur,90.5,514,Level 1 Charging,11.5,33791.82,Brown,Canada,2.0,0.0,3.0,1076,3
435,435,Lamborghini,Lanzador (upcoming EV),2017,Nickel-manganese-cobalt,76.0,259,Plug-in Hydrogen Refueling,6.1,43125.84,Sky Blue,Russia,5.0,0.0,5.0,5121,5
436,436,BMW,i7,2019,Nickel-manganese-cobalt,96.8,293,Overhead Pantograph Charging,9.3,64132.5,Blue,Germany,1.0,0.0,5.0,19135,3
437,437,Citroen,Ami,2020,Nickel-cobalt-aluminum,32.7,276,Overhead Pantograph Charging,5.2,36773.91,Forest Green,Belgium,2.0,0.0,3.0,9991,3
439,439,Ferrari,SF90 Stradale (PHEV),2022,Solid-state,109.8,205,Mobile Charging,6.2,127374.86,Lime Green,Mexico,2.0,0.0,4.0,2468,5
441,441,Zeekr,Zeekr X,2020,Magnesium-ion,30.0,521,Solar Charging,6.3,65989.08,Lime Green,Saudi Arabia,3.0,0.0,4.0,17942,3
442,442,Nissan,Leaf,2024,Nickel-manganese-cobalt,47.7,592,Vehicle-to-Home (V2H),3.6,106551.16,Cobalt Blue,Finland,3.0,0.0,3.0,17113,3
443,443,BYD,Dolphin,2017,Lithium-iron phosphate,39.6,450,Solar Charging,10.2,79231.23,Titanium,China,3.0,0.0,3.0,8403,5
444,444,Cadillac,Lyriq,2021,Lithium-iron phosphate,34.8,198,Level 1 Charging,3.3,129267.46,Sunset Orange,Russia,3.0,0.0,3.0,5221,4
448,448,Honda,Honda e (discontinued),2015,Nickel-manganese-cobalt,89.4,458,CCS,4.1,80853.76,Sky Blue,Belgium,1.0,0.0,4.0,690,5
452,452,Rimac,Nevera,2015,Magnesium-ion,26.8,428,NACS,7.7,124922.32,Gray,USA,5.0,0.0,3.0,5171,3
453,453,Lotus,Evija,2025,Magnesium-ion,36.9,404,Vehicle-to-Grid (V2G),9.6,68327.9,Aurora Blue,Italy,5.0,0.0,4.0,6509,3
454,454,Li Auto,L9,2017,Nickel-cobalt-aluminum,133.9,583,Ultra-Fast Charging (350 kW+),0.7,32756.41,Matte Gray,Finland,0.0,0.0,5.0,5529,3
455,455,XPeng,X9,2021,Zinc-air,53.8,145,Overhead Pantograph Charging,2.5,98069.15,White,South Africa,3.0,0.0,3.0,6656,3
456,456,Canoo,Pickup,2019,Lithium-titanate,84.2,166,Vehicle-to-Grid (V2G),10.3,102009.93,Platinum,Czech Republic,1.0,0.0,3.0,942,4
457,457,Honda,e:Ny1,2024,Nickel-manganese-cobalt,138.0,289,Vehicle-to-Home (V2H),1.5,86265.79,Purple,Thailand,5.0,0.0,5.0,8396,3
460,460,Rimac,Nevera,2017,Nickel-manganese-cobalt,133.3,527,Battery Swapping,9.1,141148.45,Copper,Spain,2.0,0.0,3.0,10339,5
462,462,Chevrolet,Silverado EV,2020,Lithium-titanate,92.9,334,Vehicle-to-Load (V2L),1.8,116371.68,Charcoal,Canada,1.0,0.0,3.0,16670,4
463,463,Ferrari,Ferrari EV (2025+),2024,Lithium-iron phosphate,95.9,597,Level 1 Charging,6.5,98494.54,Tan,China,3.0,0.0,3.0,9315,5
464,464,Skoda,Enyaq,2021,Sodium-ion,96.7,587,CCS,10.1,48453.06,Green,Australia,5.0,0.0,4.0,19470,5
469,469,Skoda,Elroq (upcoming),2017,Aluminum-ion,84.4,422,DC Fast Charging (DCFC),3.8,82482.66,Cobalt Blue,New Zealand,1.0,0.0,3.0,17140,4
471,471,Jaguar,I-PACE,2017,Magnesium-ion,43.7,301,Level 2 Charging,1.5,135210.64,Magenta,Hungary,3.0,0.0,4.0,11184,3
473,473,Mahindra,Born Electric (upcoming range),2024,Calcium-ion,146.6,284,Plug-in Hydrogen Refueling,9.8,40516.22,Gray,USA,0.0,0.0,3.0,6856,4
475,475,Great Wall Motors,ORA Good Cat,2022,Zinc-air,51.5,250,Plug-in Hydrogen Refueling,1.1,30944.91,Emerald Green,Vietnam,3.0,0.0,5.0,9528,3
477,477,Mahindra,Born Electric (upcoming range),2022,Lithium-titanate,76.7,182,Solar Charging,8.9,86308.85,Candy Apple Red,Austria,4.0,0.0,5.0,15350,3
479,479,Porsche,Macan EV,2017,Zinc-air,84.0,506,Vehicle-to-Grid (V2G),11.3,89247.01,Forest Green,Switzerland,0.0,0.0,5.0,5197,3
480,480,Canoo,MPDV,2015,Magnesium-ion,28.3,320,CCS,7.6,44482.56,Crimson Red,Russia,2.0,0.0,5.0,8765,3
482,482,Acura,ZDX (with GM Ultium),2018,Aluminum-ion,67.0,472,Solar Charging,8.6,121435.76,Champagne,France,2.0,0.0,3.0,14388,4
483,483,Opel,Corsa-e,2018,Calcium-ion,125.2,274,Solar Charging,6.3,40228.06,Turquoise,Indonesia,5.0,0.0,5.0,13818,3
485,485,Hyundai,Ioniq 6,2020,Nickel-cobalt-aluminum,147.7,184,Vehicle-to-Grid (V2G),1.2,121103.09,Lime Green,Sweden,0.0,0.0,5.0,17032,4
486,486,Li Auto,MEGA,2025,Lithium-titanate,92.0,255,Mobile Charging,11.0,30948.27,Bronze,South Africa,1.0,0.0,3.0,17839,5
487,487,VinFast,VFe34 (discontinued),2025,Nickel-manganese-cobalt,110.7,554,Plug-in Hydrogen Refueling,9.4,135716.96,Green,Japan,3.0,0.0,3.0,17054,5
488,488,Mazda,MX-30,2016,Lead-acid,91.7,366,Mobile Charging,9.2,49203.28,Black,Saudi Arabia,1.0,0.0,4.0,16556,3
491,491,Dacia,Bigster EV (upcoming),2021,Solid-state,32.0,317,CHAdeMO,6.0,83539.69,Turquoise,South Africa,4.0,0.0,4.0,19146,4
492,492,Acura,ZDX (with GM Ultium),2022,Lithium-titanate,141.0,350,Vehicle-to-Grid (V2G),10.0,47321.54,Gray,Russia,1.0,0.0,5.0,3868,5
497,497,Dacia,Jogger Hybrid,2024,Flow batteries,123.5,462,Solar Charging,7.0,44853.79,Matte Gray,UK,4.0,0.0,5.0,17096,3
498,498,Citroen,ë-Spacetourer,2023,Aluminum-ion,22.4,437,NACS,11.6,62995.5,Electric Blue,Belgium,4.0,0.0,5.0,10499,4
501,501,Rimac,Nevera,2021,Calcium-ion,136.9,126,Inductive (Wireless) Charging,3.3,101640.55,Forest Green,Russia,4.0,0.0,3.0,10431,4
502,502,Lamborghini,Lanzador (upcoming EV),2016,Nickel-manganese-cobalt,23.8,424,Ultra-Fast Charging (350 kW+),11.0,32234.74,Matte Gray,Israel,1.0,0.0,3.0,9981,5
503,503,Li Auto,MEGA,2016,Calcium-ion,102.7,204,CHAdeMO,4.8,148237.05,Burgundy,Belgium,3.0,0.0,3.0,32,4
504,504,GMC,Hummer EV SUV,2025,Nickel-metal hydride,20.1,577,Vehicle-to-Load (V2L),3.6,60106.67,Sky Blue,India,5.0,0.0,4.0,1490,3
505,505,Peugeot,e-208,2019,Solid-state,71.4,162,CHAdeMO,8.8,149858.55,Brown,Switzerland,2.0,0.0,5.0,8564,5
507,507,Porsche,Cayenne Electric (upcoming),2023,Aluminum-ion,110.5,350,Plug-in Hydrogen Refueling,6.7,124476.63,Ruby Red,China,5.0,0.0,4.0,19703,4
510,510,Mini,Mini Aceman,2024,Flow batteries,108.7,389,NACS,1.3,45389.57,Red,Italy,4.0,0.0,5.0,8989,3
511,511,Skoda,Enyaq,2025,Lead-acid,99.9,448,Vehicle-to-Home (V2H),0.5,81253.74,Sky Blue,South Korea,2.0,0.0,4.0,3988,5
517,517,Genesis,GV60,2022,Lead-acid,62.7,198,CCS,1.7,101421.01,Red,Israel,1.0,0.0,5.0,8397,4
518,518,Li Auto,MEGA,2024,Nickel-manganese-cobalt,44.2,170,Level 2 Charging,1.2,67400.02,Brown,Turkey,2.0,0.0,3.0,4830,4
519,519,Subaru,Solterra,2019,Sodium-ion,146.1,365,CHAdeMO,1.2,90852.94,Titanium,United Arab Emirates,3.0,0.0,5.0,6594,3
521,521,Tesla,Roadster (upcoming),2018,Lithium-titanate,49.9,419,Inductive (Wireless) Charging,3.2,118150.34,Platinum,Mexico,3.0,0.0,3.0,11888,3
523,523,Renault,5 E-Tech,2020,Calcium-ion,92.1,191,Inductive (Wireless) Charging,0.7,131145.77,Yellow,Germany,1.0,0.0,3.0,11088,3
525,525,Maserati,GranTurismo Folgore,2020,Sodium-ion,97.9,600,Ultra-Fast Charging (350 kW+),11.1,121569.88,Matte Blue,Denmark,2.0,0.0,3.0,9177,3
526,526,MG,MG ES5,2018,Lithium-titanate,30.6,340,DC Fast Charging (DCFC),2.4,76573.9,Ruby Red,Turkey,4.0,0.0,4.0,17218,5
527,527,Great Wall Motors,ORA Ballet Cat,2022,Nickel-manganese-cobalt,54.9,305,Level 2 Charging,2.9,137386.16,Candy Apple Red,Belgium,2.0,0.0,3.0,12258,4
528,528,Lamborghini,Revuelto (PHEV),2017,Magnesium-ion,30.9,327,Overhead Pantograph Charging,3.1,34937.15,Graphite Gray,Finland,3.0,0.0,4.0,10388,4
530,530,Audi,Q4 e-tron,2015,Lead-acid,46.0,200,Mobile Charging,3.4,119425.36,Navy Blue,Portugal,4.0,0.0,5.0,17797,4
531,531,Tesla,Model X,2019,Calcium-ion,65.1,306,Plug-in Hydrogen Refueling,10.0,120936.73,White,New Zealand,1.0,0.0,5.0,6877,4
534,534,Ferrari,Ferrari EV (2025+),2024,Aluminum-ion,99.0,543,Plug-in Hydrogen Refueling,11.8,54504.55,Cream,China,1.0,0.0,4.0,9982,3
536,536,Lotus,Eletre,2017,Sodium-ion,131.8,310,Plug-in Hydrogen Refueling,2.3,43289.27,Matte White,Indonesia,0.0,0.0,3.0,4257,3
537,537,Subaru,Solterra,2025,Nickel-manganese-cobalt,40.6,394,Solar Charging,7.3,90297.0,Sky Blue,Australia,0.0,0.0,4.0,19819,3
538,538,Lotus,Emeya,2024,Aluminum-ion,83.8,336,Level 2 Charging,9.0,64549.41,Sunset Orange,Brazil,5.0,0.0,3.0,13600,3
539,539,Porsche,Cayenne Electric (upcoming),2022,Nickel-cobalt-aluminum,138.4,193,CCS,5.0,143482.48,Forest Green,Netherlands,5.0,0.0,3.0,7119,4
541,542,Great Wall Motors,ORA Lightning Cat,2017,Nickel-metal hydride,129.0,410,CCS,2.5,44898.17,Racing Red,Thailand,5.0,0.0,3.0,14439,4
542,543,Porsche,Macan EV,2015,Aluminum-ion,107.8,210,Vehicle-to-Home (V2H),8.5,130380.14,Cobalt Blue,South Africa,5.0,0.0,5.0,10103,4
544,545,Mini,Mini Electric,2018,Aluminum-ion,32.6,527,NACS,8.8,35281.5,Graphite Gray,France,2.0,0.0,3.0,17750,4
546,547,Audi,e-tron GT,2021,Lithium-sulfur,119.8,355,CCS,8.7,124951.17,Rose Gold,Singapore,0.0,0.0,5.0,12732,5
549,550,Rivian,EDV (Electric Delivery Van),2015,Lithium-iron phosphate,140.0,406,Vehicle-to-Home (V2H),9.0,69442.78,Bronze,Hungary,0.0,0.0,5.0,9452,3
550,551,Volvo,EX30,2020,Lithium-iron phosphate,46.8,127,Ultra-Fast Charging (350 kW+),9.7,113553.37,Crimson Red,Ireland,4.0,0.0,3.0,2117,4
551,552,Audi,e-tron GT,2015,Flow batteries,149.0,580,Inductive (Wireless) Charging,1.9,50841.1,Matte Gray,Switzerland,0.0,0.0,3.0,6472,3
553,554,Zeekr,Zeekr 007,2017,Calcium-ion,144.0,346,Level 1 Charging,9.3,81287.67,Green,Poland,1.0,0.0,4.0,15192,4
558,559,Jeep,Wrangler 4xe (PHEV),2023,Aluminum-ion,44.5,316,NACS,10.0,60344.55,Magenta,Turkey,5.0,0.0,5.0,13487,5
559,560,Hyundai,Kona Electric,2025,Zinc-air,121.0,276,CHAdeMO,3.6,55143.07,Racing Red,Thailand,0.0,0.0,3.0,3174,3
560,561,Opel,Grandland Electric,2021,Lead-acid,74.2,247,Vehicle-to-Grid (V2G),2.5,74958.17,Cosmic Purple,Italy,1.0,0.0,5.0,6965,3
563,564,Lotus,Emeya,2022,Nickel-manganese-cobalt,118.4,409,Vehicle-to-Grid (V2G),4.4,111823.2,Pink,Hungary,2.0,0.0,3.0,11666,4
564,565,Faraday Future,FF 91,2015,Nickel-manganese-cobalt,133.2,305,CHAdeMO,0.8,44747.34,Matte Black,Portugal,1.0,0.0,5.0,15571,5
565,566,Li Auto,L8,2015,Flow batteries,144.5,516,Mobile Charging,0.7,73224.67,Silver,Hungary,1.0,0.0,5.0,2666,4
566,567,Zeekr,Zeekr 007,2025,Calcium-ion,110.9,151,Plug-in Hydrogen Refueling,3.9,53409.23,Charcoal,South Africa,5.0,0.0,3.0,9874,5
567,568,Lamborghini,Lanzador (upcoming EV),2017,Aluminum-ion,78.0,159,Vehicle-to-Load (V2L),8.1,58908.19,Electric Blue,Netherlands,5.0,0.0,5.0,957,3
569,570,Ferrari,Ferrari EV (2025+),2016,Flow batteries,64.6,566,Plug-in Hydrogen Refueling,8.0,124209.83,Rose Gold,Vietnam,1.0,0.0,3.0,2920,4
572,573,Cadillac,Celestiq,2017,Lithium-titanate,106.5,510,Level 2 Charging,7.4,67066.97,Ice Silver,Canada,5.0,0.0,3.0,16220,4
